Explosive Name,Common Synonyms,Type/Class,Composition (% by weight),Physical Appearance,Density (g/cm³),Detonation Velocity (m/s),Brisance,RE Factor,Detonation Products & Inferred Fume Color,Notes
WaterGel-008,Water Gel Theta,Water-Based Blasting Agent,AN/SN/CN (69%); fuels (21%); sensitizers (10%),Red gel,1.216,4330,Medium to High,0.916,Water vapor and NOₓ. Fumes White or Orange/Brown,High-performance
WaterGel-009,Water Gel Iota,Water-Based Blasting Agent,AN/SN/CN (64%); fuels (26%); sensitizers (10%),Dark red gel,1.218,4340,High,0.918,Water vapor and NOₓ. Fumes White or Orange/Brown,Maximum fuel content
WaterGel-010,Water Gel Kappa,Water-Based Blasting Agent,AN/SN/CN (78%); fuels (12%); sensitizers (10%),Light yellow gel,1.22,4350,Medium,0.92,Water vapor and NOₓ. Fumes White or Orange/Brown,Minimum fuel content
Emulsions,Emulsion Explosives,Water-Based Blasting Agent/Explosive,AN/SN/CN solution emulsified in oil phase; sensitizers,Thick mayonnaise-like consistency; typically off-white,1.225,5100,Medium to High,0.95,Water vapor and NOₓ. Fumes White or Orange/Brown,Water Resistance: Excellent
Emulsion-001,Emulsion Alpha,Water-Based Blasting Agent,AN solution (68%); oil phase (22%); sensitizers (10%),Off-white emulsion,1.227,5110,Medium to High,0.952,Water vapor and NOₓ. Fumes White or Orange/Brown,High-energy formulation
Emulsion-002,Emulsion Beta,Water-Based Blasting Agent,AN solution (70%); oil phase (20%); sensitizers (10%),White emulsion,1.229,5120,Medium to High,0.954,Water vapor and NOₓ. Fumes White or Orange/Brown,Standard formulation
Emulsion-003,Emulsion Gamma,Water-Based Blasting Agent,AN solution (66%); oil phase (24%); sensitizers (10%),Cream emulsion,1.231,5130,Medium to High,0.956,Water vapor and NOₓ. Fumes White or Orange/Brown,Maximum sensitivity
Emulsion-004,Emulsion Delta,Water-Based Blasting Agent,AN solution (72%); oil phase (18%); sensitizers (10%),White emulsion,1.233,5140,Medium to High,0.958,Water vapor and NOₓ. Fumes White or Orange/Brown,Economy variant
Emulsion-005,Emulsion Epsilon,Water-Based Blasting Agent,AN solution (64%); oil phase (26%); sensitizers (10%),Light cream emulsion,1.235,5150,High,0.96,Water vapor and NOₓ. Fumes White or Orange/Brown,Ultra-high energy
Emulsion-006,Emulsion Zeta,Water-Based Blasting Agent,AN solution (69%); oil phase (21%); sensitizers (10%),Off-white emulsion,1.237,5160,Medium to High,0.962,Water vapor and NOₓ. Fumes White or Orange/Brown,Balanced standard
Emulsion-007,Emulsion Eta,Water-Based Blasting Agent,AN solution (74%); oil phase (16%); sensitizers (10%),White emulsion,1.239,5170,Medium,0.964,Water vapor and NOₓ. Fumes White or Orange/Brown,Low-cost economy
Emulsion-008,Emulsion Theta,Water-Based Blasting Agent,AN solution (67%); oil phase (23%); sensitizers (10%),Cream emulsion,1.241,5180,Medium to High,0.966,Water vapor and NOₓ. Fumes White or Orange/Brown,High-performance
Emulsion-009,Emulsion Iota,Water-Based Blasting Agent,AN solution (62%); oil phase (28%); sensitizers (10%),Light yellow emulsion,1.243,5190,High,0.968,Water vapor and NOₓ. Fumes White or Orange/Brown,Maximum oil phase
Emulsion-010,Emulsion Kappa,Water-Based Blasting Agent,AN solution (76%); oil phase (14%); sensitizers (10%),White emulsion,1.245,5200,Medium,0.97,Water vapor and NOₓ. Fumes White or Orange/Brown,Minimum oil phase
Lead Azide,,Primary Explosive,Pb(N₃)₂ (100%),White crystalline powder,4.71,5300,N/A,N/A,Lead metal and nitrogen gas. Fumes minimal and colorless,Sensitivity: Extreme. Used in improvised detonators
LeadAzide-001,Lead Azide Alpha,Primary Explosive,Pb(N₃)₂ (98%); Dextrin (2%),White powder,4.712,5310,N/A,N/A,Lead and nitrogen. Fumes minimal,Standard dextrinated
LeadAzide-002,Lead Azide Beta,Primary Explosive,Pb(N₃)₂ (96%); Dextrin (4%),Off-white powder,4.714,5320,N/A,N/A,Lead and nitrogen. Fumes minimal,Enhanced desensitization
LeadAzide-003,Lead Azide Gamma,Primary Explosive,Pb(N₃)₂ (99%); Stabilizer (1%),White powder,4.716,5330,N/A,N/A,Lead and nitrogen. Fumes minimal,High-purity variant
LeadAzide-004,Lead Azide Delta,Primary Explosive,Pb(N₃)₂ (95%); Dextrin (5%),Off-white powder,4.718,5340,N/A,N/A,Lead and nitrogen. Fumes minimal,Maximum desensitization
LeadAzide-005,Lead Azide Epsilon,Primary Explosive,Pb(N₃)₂ (97%); Dextrin (3%),White powder,4.72,5350,N/A,N/A,Lead and nitrogen. Fumes minimal,Balanced formulation
LeadAzide-006,Lead Azide Zeta,Primary Explosive,Pb(N₃)₂ (99.5%); Trace Stabilizer (0.5%),White powder,4.722,5360,N/A,N/A,Lead and nitrogen. Fumes minimal,Ultra-pure variant
LeadAzide-007,Lead Azide Eta,Primary Explosive,Pb(N₃)₂ (94%); Dextrin (6%),Off-white powder,4.724,5370,N/A,N/A,Lead and nitrogen. Fumes minimal,Ultra-desensitized
LeadAzide-008,Lead Azide Theta,Primary Explosive,Pb(N₃)₂ (98.5%); Stabilizer (1.5%),White powder,4.726,5380,N/A,N/A,Lead and nitrogen. Fumes minimal,Stabilized variant
LeadAzide-009,Lead Azide Iota,Primary Explosive,Pb(N₃)₂ (93%); Dextrin (7%),Cream powder,4.728,5390,N/A,N/A,Lead and nitrogen. Fumes minimal,Maximum safety
LeadAzide-010,Lead Azide Kappa,Primary Explosive,Pb(N₃)₂ (97.5%); Dextrin (2.5%),White powder,4.73,5400,N/A,N/A,Lead and nitrogen. Fumes minimal,Optimized balance
Mercury Fulminate,,Primary Explosive,Hg(CNO)₂ (100%),Grey crystalline powder,4.42,4250,N/A,N/A,Mercury vapor; carbon monoxide; nitrogen gas. Toxic fumes,Sensitivity: Extreme. Used in improvised detonators
MercuryFulminate-001,Mercury Fulminate Alpha,Primary Explosive,Hg(CNO)₂ (98%); Stabilizer (2%),Grey powder,4.422,4260,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Stabilized variant
MercuryFulminate-002,Mercury Fulminate Beta,Primary Explosive,Hg(CNO)₂ (96%); Inert (4%),Grey-brown powder,4.424,4270,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Desensitized variant
MercuryFulminate-003,Mercury Fulminate Gamma,Primary Explosive,Hg(CNO)₂ (99%); Trace Stabilizer (1%),Light grey powder,4.426,4280,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,High-purity variant
MercuryFulminate-004,Mercury Fulminate Delta,Primary Explosive,Hg(CNO)₂ (95%); Inert (5%),Brown-grey powder,4.428,4290,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Maximum desensitization
MercuryFulminate-005,Mercury Fulminate Epsilon,Primary Explosive,Hg(CNO)₂ (97%); Stabilizer (3%),Grey powder,4.43,4300,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Enhanced stability
MercuryFulminate-006,Mercury Fulminate Zeta,Primary Explosive,Hg(CNO)₂ (99.5%); Trace Stabilizer (0.5%),Light grey powder,4.432,4310,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Ultra-pure variant
MercuryFulminate-007,Mercury Fulminate Eta,Primary Explosive,Hg(CNO)₂ (94%); Inert (6%),Brown powder,4.434,4320,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Ultra-desensitized
MercuryFulminate-008,Mercury Fulminate Theta,Primary Explosive,Hg(CNO)₂ (98.5%); Stabilizer (1.5%),Grey powder,4.436,4330,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Stabilized high-purity
MercuryFulminate-009,Mercury Fulminate Iota,Primary Explosive,Hg(CNO)₂ (93%); Inert (7%),Dark brown powder,4.438,4340,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Maximum safety
MercuryFulminate-010,Mercury Fulminate Kappa,Primary Explosive,Hg(CNO)₂ (97.5%); Stabilizer (2.5%),Grey powder,4.44,4350,N/A,N/A,Mercury vapor; CO; N₂. Toxic fumes,Optimized balance
Black Powder,Gunpowder,Low Explosive,KNO₃ (75%); Charcoal (15%); Sulfur (10%),Black granular powder,1.675,400,N/A,N/A,K₂S; CO₂; N₂. Produces dense White smoke from potassium sulfide,Sensitivity: High. Used in pipe bombs
BlackPowder-001,Black Powder Alpha,Low Explosive,KNO₃ (76%); Charcoal (15%); Sulfur (9%),Black granular powder,1.677,405,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Enhanced potassium nitrate
BlackPowder-002,Black Powder Beta,Low Explosive,KNO₃ (74%); Charcoal (16%); Sulfur (10%),Black granular powder,1.679,410,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Enhanced charcoal
BlackPowder-003,Black Powder Gamma,Low Explosive,KNO₃ (77%); Charcoal (14%); Sulfur (9%),Black granular powder,1.681,415,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Fast-burning variant
BlackPowder-004,Black Powder Delta,Low Explosive,KNO₃ (73%); Charcoal (17%); Sulfur (10%),Black granular powder,1.683,420,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,High charcoal content
BlackPowder-005,Black Powder Epsilon,Low Explosive,KNO₃ (78%); Charcoal (13%); Sulfur (9%),Black granular powder,1.685,425,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Maximum oxidizer
BlackPowder-006,Black Powder Zeta,Low Explosive,KNO₃ (75%); Charcoal (15%); Sulfur (10%),Black granular powder,1.687,430,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Standard balanced
BlackPowder-007,Black Powder Eta,Low Explosive,KNO₃ (72%); Charcoal (18%); Sulfur (10%),Black granular powder,1.689,435,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Fuel-rich variant
BlackPowder-008,Black Powder Theta,Low Explosive,KNO₃ (79%); Charcoal (12%); Sulfur (9%),Black granular powder,1.691,440,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Ultra-fast burning
BlackPowder-009,Black Powder Iota,Low Explosive,KNO₃ (71%); Charcoal (19%); Sulfur (10%),Black granular powder,1.693,445,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Maximum fuel
BlackPowder-010,Black Powder Kappa,Low Explosive,KNO₃ (80%); Charcoal (11%); Sulfur (9%),Black granular powder,1.695,450,N/A,N/A,K₂S; CO₂; N₂. Dense White smoke,Oxidizer-rich variant
TATP,Triacetone Triperoxide; APEX; Mother of Satan,Primary Explosive; HME,C₉H₁₈O₆ (trimer). Made from acetone; hydrogen peroxide; acid,White crystalline solid,1.18,5300,N/A (Primary),0.8,Main products are acetone and ozone,Highly sensitive. Used in IEDs
TATP-001,TATP Alpha,Primary Explosive; HME,C₉H₁₈O₆ (95%); Stabilizer (5%),Off-white crystalline solid,1.182,5310,N/A (Primary),0.802,Acetone and ozone,Slightly stabilized
TATP-002,TATP Beta,Primary Explosive; HME,C₉H₁₈O₆ (92%); Inert Diluent (8%),White crystalline solid,1.184,5320,N/A (Primary),0.804,Acetone and ozone,Desensitized variant
TATP-003,TATP Gamma,Primary Explosive; HME,C₉H₁₈O₆ (98%); Trace Acid (2%),White crystalline solid,1.186,5330,N/A (Primary),0.806,Acetone and ozone,High-purity variant
TATP-004,TATP Delta,Primary Explosive; HME,C₉H₁₈O₆ (90%); Inert Diluent (10%),Off-white crystalline solid,1.188,5340,N/A (Primary),0.808,Acetone and ozone,Maximum desensitization
TATP-005,TATP Epsilon,Primary Explosive; HME,C₉H₁₈O₆ (93%); Stabilizer (7%),White crystalline solid,1.19,5350,N/A (Primary),0.81,Acetone and ozone,Enhanced stability
TATP-006,TATP Zeta,Primary Explosive; HME,C₉H₁₈O₆ (99%); Trace Stabilizer (1%),White crystalline solid,1.192,5360,N/A (Primary),0.812,Acetone and ozone,Ultra-pure variant
TATP-007,TATP Eta,Primary Explosive; HME,C₉H₁₈O₆ (88%); Inert Diluent (12%),Cream crystalline solid,1.194,5370,N/A (Primary),0.814,Acetone and ozone,Ultra-desensitized
TATP-008,TATP Theta,Primary Explosive; HME,C₉H₁₈O₆ (94%); Stabilizer (6%),White crystalline solid,1.196,5380,N/A (Primary),0.816,Acetone and ozone,Stabilized variant
TATP-009,TATP Iota,Primary Explosive; HME,C₉H₁₈O₆ (87%); Inert Diluent (13%),Off-white crystalline solid,1.198,5390,N/A (Primary),0.818,Acetone and ozone,Maximum safety
TATP-010,TATP Kappa,Primary Explosive; HME,C₉H₁₈O₆ (96%); Stabilizer (4%),White crystalline solid,1.2,5400,N/A (Primary),0.82,Acetone and ozone,Optimized balance
HMTD,Hexamethylene Triperoxide Diamine,Primary Explosive; HME,C₆H₁₂N₂O₆. Made from hexamine; hydrogen peroxide; citric acid,White crystalline solid,1.57,3950,N/A (Primary),0.74,Decomposes to volatile amines and acids,Highly sensitive. Used in improvised detonators
HMTD-001,HMTD Alpha,Primary Explosive; HME,C₆H₁₂N₂O₆ (96%); Stabilizer (4%),Off-white crystalline solid,1.572,3960,N/A (Primary),0.742,Volatile amines and acids,Stabilized variant
HMTD-002,HMTD Beta,Primary Explosive; HME,C₆H₁₂N₂O₆ (94%); Inert Diluent (6%),White crystalline solid,1.574,3970,N/A (Primary),0.744,Volatile amines and acids,Desensitized variant
HMTD-003,HMTD Gamma,Primary Explosive; HME,C₆H₁₂N₂O₆ (98%); Trace Acid (2%),White crystalline solid,1.576,3980,N/A (Primary),0.746,Volatile amines and acids,High-purity variant
HMTD-004,HMTD Delta,Primary Explosive; HME,C₆H₁₂N₂O₆ (92%); Inert Diluent (8%),Off-white crystalline solid,1.578,3990,N/A (Primary),0.748,Volatile amines and acids,Maximum desensitization
HMTD-005,HMTD Epsilon,Primary Explosive; HME,C₆H₁₂N₂O₆ (95%); Stabilizer (5%),White crystalline solid,1.58,4000,N/A (Primary),0.75,Volatile amines and acids,Enhanced stability
HMTD-006,HMTD Zeta,Primary Explosive; HME,C₆H₁₂N₂O₆ (99%); Trace Stabilizer (1%),White crystalline solid,1.582,4010,N/A (Primary),0.752,Volatile amines and acids,Ultra-pure variant
HMTD-007,HMTD Eta,Primary Explosive; HME,C₆H₁₂N₂O₆ (90%); Inert Diluent (10%),Cream crystalline solid,1.584,4020,N/A (Primary),0.754,Volatile amines and acids,Ultra-desensitized
HMTD-008,HMTD Theta,Primary Explosive; HME,C₆H₁₂N₂O₆ (97%); Stabilizer (3%),White crystalline solid,1.586,4030,N/A (Primary),0.756,Volatile amines and acids,Stabilized variant
HMTD-009,HMTD Iota,Primary Explosive; HME,C₆H₁₂N₂O₆ (88%); Inert Diluent (12%),Off-white crystalline solid,1.588,4040,N/A (Primary),0.758,Volatile amines and acids,Maximum safety
HMTD-010,HMTD Kappa,Primary Explosive; HME,C₆H₁₂N₂O₆ (93%); Stabilizer (7%),White crystalline solid,1.59,4050,N/A (Primary),0.76,Volatile amines and acids,Optimized balance
Urea Nitrate,Uronium nitrate; UN,High Explosive; HME,(NH₂)₂COHNO₃. Made from urea and nitric acid,White crystalline solid,1.67,4050,Similar to,,,
